region,value
China,137839.6406
China,9488
China,946766
China,105194
China,7060630
China,1466830
China,1771640
China,71430
China,243095.5938
China,31137.80078
China,2844680
China,286890
China,27926400
China,6888700
China,31799.44336
China,1549.464844
China,3738.147217
China,248.661026
China,8709.183594
China,649.4308472
China,58474.47656
China,14599.7207
China,192548
China,3659
China,404873.8125
China,87039
China,1075020
China,93490
China,10429900
China,1032800
China,2505290
China,83930
China,1816686.625
China,276231.1875
China,7165390
China,700180
China,76624896
China,13702600
China,45300.94531
China,1772.99353
China,25752.2168
China,2105.94873
China,22442.17773
China,1566.444702
China,163815.5313
China,26331.48242
China,45
China,26
China,20
China,58
China,5
China,13
China,37
China,60
China,44
China,18
China,24
China,51
China,5
China,13
China,27
China,47
China,155743
China,360
China,413995.1875
China,91743
China,1086530
China,90680
China,10109800
China,1022000
China,1827060
China,50520
China,1889798
China,288445
China,7180390
China,455710
China,69123104
China,13523900
China,33387.28906
China,1169.62915
China,29591.98828
China,2382.01001
China,22767.93555
China,930.0510864
China,149621.1094
China,26091.9043
China,0.158998564
China,0.085747302
China,0.09790127
China,1.002858758
China,9504.37793
China,5125.673828
China,5852.195313
China,59947.38672
China,0.126590982
China,0.110471658
China,0.093432799
China,0.988530278
China,7567.166504
China,6603.609375
China,5585.085938
China,59090.88281
China,4103744
China,5158387.5
China,3808475
China,4787235.5
Denmark,0.145719483
Denmark,0.036989331
Denmark,0.398406386
Denmark,0.019779351
Denmark,0.036875423
Denmark,0.001365991
Denmark,0.003651195
Denmark,0.031243287
Denmark,9
Denmark,6
Denmark,6
Denmark,28
Denmark,59
Denmark,20
Denmark,20
Denmark,4
Denmark,9
Denmark,4
Denmark,1
Denmark,11
Denmark,2
Denmark,20
Denmark,481
Denmark,422
Denmark,29
Denmark,23
Denmark,10
Denmark,0.247993141
Denmark,0.0227952
Denmark,0.00681009
Denmark,0.094420955
Denmark,0.022877537
Denmark,0.247831479
Denmark,0.04692075
Denmark,0.027329871
Denmark,0.05322535
Denmark,0.130718961
Denmark,0.02349624
Denmark,0.555601597
Denmark,0.054692548
Denmark,0.056232963
Denmark,0.291880101
Denmark,10
Denmark,126
Denmark,219
Denmark,8
Denmark,9
Denmark,486
Denmark,1244
Denmark,3
Denmark,449
Denmark,14
Denmark,12
Denmark,1
Denmark,12
Denmark,15
Denmark,1
Denmark,3
Denmark,10
Denmark,14
Denmark,56
Denmark,496
Denmark,1538
Denmark,495
Denmark,12
Denmark,2
Denmark,310
Denmark,104
Denmark,11
Denmark,0.277388692
Denmark,0.068126321
Denmark,0.079962894
Denmark,0.440821767
Denmark,0.026354728
Denmark,0.407055616
Denmark,0.067808487
Denmark,0.023255814
Denmark,0.06706617
Denmark,0.026550848
Denmark,0.171917766
Denmark,0.091678351
Denmark,0.129551366
Denmark,0.846044302
Denmark,11
Denmark,47
Denmark,351
Denmark,2
Denmark,14
Denmark,1508
Denmark,2918
Denmark,117
Denmark,813
Denmark,100
Denmark,90
Denmark,15
Denmark,15
Denmark,417
Denmark,567
Denmark,271
Denmark,1043
Denmark,7891
Denmark,4239
Denmark,100
Denmark,85
Denmark,588
Denmark,262
Denmark,11
Denmark,2.245998621
Denmark,0.353769392
Denmark,0.173919737
Denmark,1.069271564
Denmark,0.026505876
Denmark,0.067372389
Denmark,0.049618904
Denmark,0.01977066
Denmark,0.019025618
Denmark,0.396432102
Denmark,0.376771241
Denmark,0.201804683
Denmark,0.39638406
Denmark,0.803339005
Denmark,8
Denmark,57
Denmark,623
Denmark,81
Denmark,178
Denmark,1218
Denmark,8665
Denmark,314
Denmark,2114
Denmark,1108
Denmark,572
Denmark,11
Denmark,1
Denmark,4
Denmark,1
Denmark,11
Denmark,621
Denmark,1774
Denmark,8767
Denmark,370
Denmark,2114
Denmark,693
Denmark,199
Denmark,24
Denmark,512
Denmark,70
Denmark,8
Denmark,0.59245497
Denmark,0.416640311
Denmark,0.179791778
Denmark,0.261918694
Denmark,0.020100502
Denmark,0.049310233
Denmark,0.018831713
Denmark,0.018717041
Denmark,0.059566643
Denmark,0.060301509
Denmark,0.178402856
Denmark,0.652938247
Denmark,0.231465906
Denmark,0.586275995
Denmark,2.137982607
Denmark,8
Denmark,3
Denmark,190
Denmark,669
Denmark,31
Denmark,232
Denmark,1545
Denmark,10040
Denmark,5168
Denmark,3126
Denmark,387
Denmark,2170
Denmark,13
Denmark,2
Denmark,83
Denmark,88
Denmark,17
Denmark,24
Denmark,449
Denmark,2244
Denmark,3884
Denmark,9865
Denmark,15506
Denmark,5532
Denmark,264
Denmark,34
Denmark,897
Denmark,231
Denmark,2
Denmark,13
Denmark,4.174387932
Denmark,0.956674218
Denmark,0.305227607
Denmark,0.800749362
Denmark,8.478364944
Denmark,0.039832704
Denmark,0.521373391
Denmark,0.030496299
Denmark,0.061969701
Denmark,0.529422462
Denmark,0.402792692
Denmark,1.449275374
Denmark,2.005012512
Denmark,0.461747527
Denmark,2.315789938
Denmark,16.35238266
Denmark,28
Denmark,15
Denmark,460
Denmark,1324
Denmark,164
Denmark,431
Denmark,14227
Denmark,31892
Denmark,29725
Denmark,18240
Denmark,555
Denmark,2699
Denmark,23
Denmark,88
Denmark,3
Denmark,223
Denmark,307
Denmark,24
Denmark,681
Denmark,3491
Denmark,40694
Denmark,77881
Denmark,66619
Denmark,24956
Denmark,782
Denmark,324
Denmark,2636
Denmark,1451
Denmark,27
Denmark,56
Denmark,35.42444611
Denmark,5.194372177
Denmark,0.915703297
Denmark,5.619222641
Denmark,35.06289291
Denmark,0.612510622
Denmark,1.578728199
Denmark,0.123939402
Europe,0.06486211
Europe,0.007204034
Europe,1.40453E-05
Europe,2.02E-07
Europe,4.50811E-05
Europe,0.000117282
Europe,0.815179706
Europe,0.011724734
Europe,2.616388321
Europe,6.78329134
Europe,0.086396843
Europe,0.004900914
Europe,0.003227445
Europe,0.01199804
Europe,0.002825866
Europe,0.013939233
Europe,0.07513649
Europe,0.006930827
Europe,0.023862833
Europe,0.003539148
Europe,0.003508762
Europe,0.137753949
Europe,2.16743E-05
Europe,2.81E-07
Europe,8.26866E-05
Europe,0.000273319
Europe,1.257949471
Europe,0.016322963
Europe,4.798842907
Europe,15.82653904
Europe,0.011890638
Europe,0.084353551
Europe,0.107513659
Europe,0.017500762
Europe,2.75945E-05
Europe,2.88E-07
Europe,0.000212807
Europe,0.000610369
Europe,1.601534843
Europe,0.016741879
Europe,12.34959221
Europe,35.34615707
Europe,0.418904811
Europe,0.003191349
Europe,0.004262791
Europe,0.041129734
Europe,0.017798925
Europe,0.200504377
Europe,0.422104627
Europe,0.039830558
Europe,0.062709369
Europe,0.004487582
Europe,0.004676904
Europe,0.498147875
Europe,4.06102E-05
Europe,4.76E-07
Europe,0.000333033
Europe,0.001199379
Europe,2.356947899
Europe,0.027624836
Europe,19.3236866
Europe,69.457901
Europe,0.025538782
Europe,0.147285029
Europe,0.195277676
Europe,0.037127823
Europe,7.04793E-05
Europe,5.60E-07
Europe,0.000488753
Europe,0.002431249
Europe,4.09053278
Europe,0.032515313
Europe,28.35510635
Europe,140.7586823
Europe,0.486796707
Europe,0.005226317
Europe,0.004880358
Europe,0.087737307
Europe,0.075068936
Europe,0.642160356
Europe,1.171073198
Europe,0.143049598
Europe,0.119398683
Europe,0.52377528
Europe,70.205513
Europe,16.57373428
Europe,130.035202
Europe,1.525445104
Europe,501.0175781
Europe,89.72675323
Europe,114.0703659
Europe,0.192293078
Europe,0.007945763
Europe,0.00170219
Europe,0.000109234
Europe,6.05E-07
Europe,0.000658133
Europe,0.004355798
Europe,6.339853764
Europe,0.035086676
Europe,38.17601776
Europe,252.170517
Europe,0.056710925
Europe,0.167944193
Europe,1.29223752
Europe,0.119019791
Europe,0.000339513
Europe,8.17E-07
Europe,0.000836199
Europe,0.006480135
Europe,19.70380402
Europe,0.047435455
Europe,48.50272751
Europe,375.1695251
Europe,0.010498663
Europe,0.008058489
Europe,122.7390823
Europe,51.75272369
Europe,172.5470734
Europe,2.455477238
Europe,715.9207153
Europe,156.8001251
Europe,117.1120987
Europe,0.192293078
Europe,0.601510346
Europe,0.155119672
Europe,0.223719254
Europe,1.221008539
Europe,1.669384241
Europe,0.320158154
Europe,0.199314356
Europe,0.726065218
Europe,178.4812622
Europe,72.6344986
Europe,226.6978607
Europe,3.678892851
Europe,1021.24469
Europe,236.6543732
Europe,118.4809341
Europe,0.281182796
Europe,0.008268966
Europe,0.003459665
Europe,0.000511074
Europe,9.29E-07
Europe,0.001101477
Europe,0.009384295
Europe,29.65994644
Europe,0.053944334
Europe,63.8884964
Europe,543.3762207
Europe,0.163123995
Europe,0.777480006
Europe,1.451872349
Europe,0.222816706
Europe,0.000893784
Europe,1.30917E-06
Europe,0.001599824
Europe,0.013424448
Europe,51.8681221
Europe,0.075984024
Europe,92.79364777
Europe,777.4198608
Europe,0.011154178
Europe,0.008726843
